book_title,image_path,text_ja,text_en,book_index,image_book_concat
tojime_no_siora,images/tojime_no_siora/ja/000.jpg,綴じ眼のシオラ,bound eye siora,0,images/tojime_no_siora/ja/000.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/000.jpg,朽鷹みつき,Mitsuki Kuchitaka,1,images/tojime_no_siora/ja/000.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/001.jpg,だからっ,I'm telling you!!,0,images/tojime_no_siora/ja/001.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/001.jpg,知らないって言ってるだろっ,I don't know what you're talking about!,1,images/tojime_no_siora/ja/001.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/001.jpg,そんな借金なんて!,i don't owe you!,2,images/tojime_no_siora/ja/001.jpg_2
tojime_no_siora,images/tojime_no_siora/ja/001.jpg,そうは言ってもなぁ,"well, I'm sorry...",3,images/tojime_no_siora/ja/001.jpg_3
tojime_no_siora,images/tojime_no_siora/ja/001.jpg,レーネ...,lene...,4,images/tojime_no_siora/ja/001.jpg_4
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,こっちにゃ借用書があんだよ,we've got proof here...,0,images/tojime_no_siora/ja/002.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,トルティヤーノに借りた金はちゃんと返して貰わねぇと,You know we need you to pay us back...,1,images/tojime_no_siora/ja/002.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,知るもんかっ,how should I know!?,2,images/tojime_no_siora/ja/002.jpg_2
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,父親がカジノで作った借金なんて...,how should I know about my father's debt in casinos...,3,images/tojime_no_siora/ja/002.jpg_3
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,あのぉ,excuse me...,4,images/tojime_no_siora/ja/002.jpg_4
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,もしやトルティヤーノ一家の方でしょうか,are you a member of the Tortillano family?,5,images/tojime_no_siora/ja/002.jpg_5
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,あ?,huh?,6,images/tojime_no_siora/ja/002.jpg_6
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,取り込み中だ出直しやがれ!,we're having a conversation here! Get lost!,7,images/tojime_no_siora/ja/002.jpg_7
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,え、あっあのっ...,"uh, um...",8,images/tojime_no_siora/ja/002.jpg_8
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,待ってくださーー,Please...! Wait...,9,images/tojime_no_siora/ja/002.jpg_9
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,あっ,ah!,10,images/tojime_no_siora/ja/002.jpg_10
tojime_no_siora,images/tojime_no_siora/ja/002.jpg,がっ,guh!,11,images/tojime_no_siora/ja/002.jpg_11
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,てってめぇ...!,"hey, you...",0,images/tojime_no_siora/ja/003.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,すいません...っ目の見えない「閉じ眼」なものでつい転んでじゃって,"i'm sorry, i can't see, I am a ""closed-eyes""...",1,images/tojime_no_siora/ja/003.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,閉じ眼がマフィアに何の用だコラァ!!,so what does a closed-eyes want from the likes of us!,2,images/tojime_no_siora/ja/003.jpg_2
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,え、ええと...,uh...,3,images/tojime_no_siora/ja/003.jpg_3
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,流しのガンマンをしているシオラと申します,"I'm siora, a gunman",4,images/tojime_no_siora/ja/003.jpg_4
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,ここら一帯を仕切るトルティヤー一家の名が聞こえたので,I heard that you Tortillanos are in charge around here,5,images/tojime_no_siora/ja/003.jpg_5
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,用心棒として雇っていただけないかと...,so i was wondering if you could hire me as a bodyguard...,6,images/tojime_no_siora/ja/003.jpg_6
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,目の見えない閉じ眼が...,so a closed-eyes is...,7,images/tojime_no_siora/ja/003.jpg_7
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,ガンマンだって...?,a gunman...?,8,images/tojime_no_siora/ja/003.jpg_8
tojime_no_siora,images/tojime_no_siora/ja/003.jpg,おう...,well...,9,images/tojime_no_siora/ja/003.jpg_9
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,マフィア舐めんのも大概にしやがれ,Don't mess with us.,0,images/tojime_no_siora/ja/004.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,あっ,ah..,1,images/tojime_no_siora/ja/004.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,閉じ眼が用心棒だ?,closed-eyes for a bodyguard?,2,images/tojime_no_siora/ja/004.jpg_2
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,腰の銃でイかれた脳みそぶちまけてみるか?,do you want me to shoot your brains out?!,3,images/tojime_no_siora/ja/004.jpg_3
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,あ?,huh?,4,images/tojime_no_siora/ja/004.jpg_4
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,あ、あの...,er...,5,images/tojime_no_siora/ja/004.jpg_5
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,ちょっとやめてよ!こんなとこで!,"hey, just please stop!",6,images/tojime_no_siora/ja/004.jpg_6
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,...,...,7,images/tojime_no_siora/ja/004.jpg_7
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,ん?,huh?,8,images/tojime_no_siora/ja/004.jpg_8
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,お前もしかして,are you...,9,images/tojime_no_siora/ja/004.jpg_9
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,女か?,a girl?,10,images/tojime_no_siora/ja/004.jpg_10
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,えっはい...そうですけど...,"yes, but so...?",11,images/tojime_no_siora/ja/004.jpg_11
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,ほぉ,oh well...,12,images/tojime_no_siora/ja/004.jpg_12
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,面見せてみろ,let's take a look at your face.,13,images/tojime_no_siora/ja/004.jpg_13
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,えっ,hey!,14,images/tojime_no_siora/ja/004.jpg_14
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,閉じ眼でも器量が良けりゃ貿い手は...,"If you have good qualities, your eyes wouldn't be a concern",15,images/tojime_no_siora/ja/004.jpg_15
tojime_no_siora,images/tojime_no_siora/ja/004.jpg,やっちょっと...!,"hey, wait!",16,images/tojime_no_siora/ja/004.jpg_16
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,ーー!?,?!,0,images/tojime_no_siora/ja/005.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,なんだこりゃあ...,what the...,1,images/tojime_no_siora/ja/005.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,てめぇ...,you...,2,images/tojime_no_siora/ja/005.jpg_2
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,?,?,3,images/tojime_no_siora/ja/005.jpg_3
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,なんてもん見せやがるっ!!,what is this!!,4,images/tojime_no_siora/ja/005.jpg_4
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,ひっひどい!,how dare you!,5,images/tojime_no_siora/ja/005.jpg_5
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,大丈夫かいあんたっ,are you all right?!,6,images/tojime_no_siora/ja/005.jpg_6
tojime_no_siora,images/tojime_no_siora/ja/005.jpg,今日は帰ってやる,i'll leave for today.,7,images/tojime_no_siora/ja/005.jpg_7
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,だがいつまでもこうしてられると思うなよ,but don't think you can stay like this forever.,0,images/tojime_no_siora/ja/006.jpg_0
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,レーネ,lene,1,images/tojime_no_siora/ja/006.jpg_1
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,馬鹿か,are you nuts?,2,images/tojime_no_siora/ja/006.jpg_2
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,アンタは,you...,3,images/tojime_no_siora/ja/006.jpg_3
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,撃ち合いで成り上がったトルティヤー一家に銃の腕を買えだ?,The Tortillanos are notorious for their gun fights! did you really think that they would hire you? ,4,images/tojime_no_siora/ja/006.jpg_4
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,挙句の果てにビル・トルティヤーにケンカを売るなんて,"and  picking a fight with ""the"" bill tortillano?",5,images/tojime_no_siora/ja/006.jpg_5
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,奴はトルティヤー兄弟の片割れ、この街で一番の荒くれだよ,"he's one half of the Tortillano brothers, and the most violent in town.",6,images/tojime_no_siora/ja/006.jpg_6
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,なるほど,i see.,7,images/tojime_no_siora/ja/006.jpg_7
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,さっきの7フィート程の巨漢が、マフィア兄弟の弟の方...,so that 7-feet-tall guy is the younger one of the mafia brothers.,8,images/tojime_no_siora/ja/006.jpg_8
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,そうさ!,that's right!,9,images/tojime_no_siora/ja/006.jpg_9
tojime_no_siora,images/tojime_no_siora/ja/006.jpg,悪いこた言わないからさっさと街から...,so you'd better get out of this town as soon as possible.,10,images/tojime_no_siora/ja/006.jpg_10
